tipo_credito,fecha_prestamo,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo
4,45817.423680555556,1131900,6,34,Empleado,1500000,480000,168281,95.227787000000006,847.0,2,3,0.0,35.0,35.0,0.0,1,0,0,959344,Creciente,1
4,45823.68409722222,1200000,6,68,Empleado,4000000,2500000,178476,49.161959000000003,766.0,4,3,0.0,7506.0,7506.0,0.0,1,0,0,,,0
4,45883.564085648148,3360000,6,50,Independiente,3580000,1155000,505742,95.227787000000006,922.0,5,4,0.0,41186.0,41186.0,0.0,4,1,0,969508,Creciente,1
4,45703.54886574074,2672400,12,42,Independiente,6000000,2000000,209955,95.227787000000006,798.0,6,1,0.0,29601.0,29601.0,0.0,4,0,0,,,1
9,45777.693425925929,878880,5,49,Independiente,5000000,2000000,142664,95.227787000000006,820.0,13,12,0.0,36418.0,18861.0,0.0,6,0,4,941789,Creciente,1
9,45742.691377314812,878880,11,45,Independiente,5000000,2000000,68496,95.227787000000006,732.0,9,13,0.0,41386.0,41386.0,0.0,3,1,4,925157,Creciente,1
9,45823.652881944443,1269000,3,46,Empleado,5000000,2000000,337095,95.227787000000006,811.0,5,6,0.0,54767.0,54767.0,0.0,1,0,2,32826,Creciente,1
4,45828.478379629632,7200000,12,60,Independiente,12000000,3000000,570791,95.227787000000006,781.0,4,4,0.0,73341.0,73341.0,0.0,2,0,2,950105,Creciente,1
9,45752.427604166667,821208,2,61,Independiente,5000000,2000000,323844,46.387526999999999,853.0,7,3,0.0,29344.0,29344.0,0.0,5,0,1,66667,Estable,0
4,45624.677152777775,3191760,6,62,Independiente,8000000,4000000,472442,-4.158836,810.0,15,4,0.0,311060.0,311060.0,0.0,6,0,5,,,0
9,45788.46533564815,1604400,5,56,Independiente,5000000,2000000,260433,40.818275,797.0,6,7,0.0,57902.0,55711.0,0.0,3,1,2,933473,Creciente,0
4,45708.698217592595,1650000,12,44,Independiente,1400000,700000,129621,95.227787000000006,868.0,8,3,0.0,5201.0,5201.0,0.0,2,1,0,1204496,Creciente,1
4,45756.343032407407,1749600,6,50,Independiente,4000000,1500000,260027,-11.093652000000001,784.0,4,2,0.0,14981.0,14981.0,0.0,2,0,0,,,0
9,45773.643449074072,1269000,5,40,Independiente,5000000,2000000,205990,95.227787000000006,749.0,6,7,0.0,28101.0,28101.0,0.0,3,0,3,,,1
4,45661.651678240742,4944000,6,51,Independiente,30000000,10000000,732474,95.227787000000006,863.0,9,12,0.0,228980.0,228980.0,0.0,7,0,1,2345454,Creciente,1
4,45881.789768518516,1029024,6,63,Independiente,8370000,489000,154111,89.229500000000002,872.0,5,8,0.0,44108.0,44108.0,0.0,3,0,0,,,1
4,45678.714675925927,1200000,6,57,Empleado,3000000,1000000,166667,95.227787000000006,780.0,1,2,0.0,141.0,141.0,0.0,0,0,0,6703319,Creciente,1
4,45887.645115740743,8649999.5999999996,6,50,Independiente,8470000,2724000,1301985,95.227787000000006,812.0,7,3,0.0,102377.0,11843.0,0.0,4,0,2,333135,Decreciente,1
4,45666.450289351851,1905153.5999999999,6,46,Independiente,5000000,2000000,282256,95.227787000000006,798.0,8,1,0.0,13222.0,10659.0,0.0,0,3,0,,,1
4,45759.647268518522,2301030,10,42,Independiente,10600000,0,213136,95.227787000000006,782.0,8,5,0.0,63456.0,63456.0,0.0,3,0,4,,,1
4,45755.656909722224,1199880,6,39,Empleado,1200000,500000,178377,95.227787000000006,834.0,3,0,0.0,39.0,39.0,0.0,1,0,0,1023333,Creciente,1
4,45654.728194444448,1806840,6,62,Empleado,1100000,500000,268172,95.227787000000006,812.0,5,0,0.0,797.0,797.0,0.0,2,0,0,1136219,Creciente,1
4,45667.585543981484,1499640,12,57,Independiente,4000000,1400000,117664,95.227787000000006,828.0,8,2,0.0,79078.0,58662.0,0.0,3,1,1,908526,Estable,1
4,45705.509432870371,3516000,6,53,Independiente,10000000,3000000,522198,95.227787000000006,724.0,5,3,0.0,235751.0,235751.0,0.0,2,0,2,916841,Creciente,1
4,45706.483171296299,2014699.2,10,55,Independiente,1400000,600000,186892,95.227787000000006,800.0,1,2,0.0,1409.0,1409.0,0.0,0,0,1,,,1
9,45631.582268518519,1084186.8,5,59,Independiente,4000000,2000000,175581,95.227787000000006,677,3,0,132,15286,15286,,2,0,1,,,1
4,45714.582233796296,3350161.1999999997,12,38,Empleado,3500000,500000,263530,95.227787000000006,856.0,4,4,0.0,56602.0,56602.0,0.0,2,0,0,3118405,Creciente,1
4,45644.710972222223,5230200,12,42,Independiente,5000000,1000000,410396,95.227787000000006,820.0,7,2,0.0,668.0,668.0,0.0,1,0,2,908526,Estable,1
4,45738.493587962963,2254020,6,42,Independiente,6000000,2200000,335012,58.597591000000001,772.0,5,9,0.0,36004.0,995.0,0.0,2,0,0,908526,Estable,0
9,45800.667986111112,1269000,7,41,Independiente,5000000,2000000,150036,95.227787000000006,734.0,23,5,0.0,222010.0,222010.0,0.0,13,0,6,3917774,Creciente,1
4,45751.702627314815,1712499.5999999999,12,41,Independiente,4000000,3000000,134764,95.227787000000006,758.0,7,9,0.0,37776.0,18957.0,0.0,4,0,1,294430,Decreciente,1
9,45805.404745370368,442560,2,47,Independiente,5000000,2000000,174626,95.227787000000006,757.0,1,8,0.0,53.0,53.0,0.0,0,0,1,,,1
4,45879.661909722221,2019600,6,64,Empleado,3000000,1000000,299446,95.227787000000006,874.0,1,3,0.0,0.0,0.0,0.0,1,0,0,1033825,Creciente,1
4,45842.536736111113,3600000,8,55,Independiente,3000000,2000000,413020,95.227787000000006,814.0,5,3,0.0,8817.0,8817.0,0.0,2,0,2,,,1
4,45879.63,636000,6,65,Independiente,954263,1127000,95739,95.227787000000006,868.0,5,9,0.0,16556.0,16556.0,0.0,5,0,0,954263,Creciente,1
4,45656.507997685185,3810308.4,12,55,Empleado,3000000,1000000,297986,95.227787000000006,788.0,9,3,0.0,51322.0,51322.0,0.0,2,1,4,992011,Decreciente,1
4,45880.427291666667,1534020,6,53,Independiente,2090000,0,230921,95.227787000000006,782.0,1,1,0.0,0.0,0.0,0.0,0,0,0,,,1
4,45782.569178240738,3661855.1999999997,6,61,Independiente,15000000,3000000,545699,84.730785999999995,805.0,5,6,0.0,34467.0,34467.0,0.0,4,0,0,,,1
4,45752.713009259256,1929480,6,49,Empleado,6800000,2500000,286841,95.227787000000006,801.0,6,3,0.0,82874.0,82874.0,0.0,4,0,1,31156,Creciente,1
9,45770.406331018516,1269000,5,65,Independiente,5000000,2000000,205990,-15.473246,871.0,4,8,0.0,115382.0,115382.0,0.0,2,0,1,,,0
9,45701.601875,3586916.4,9,41,Independiente,3800000,1600000,335308,95.227787000000006,723.0,18,3,0.0,86990.0,86990.0,0.0,15,0,2,2021403,Decreciente,1
9,45736.473078703704,878880,3,60,Independiente,5000000,2000000,233237,95.227787000000006,831.0,2,2,0.0,89.0,89.0,0.0,0,0,1,2630127,Decreciente,1
9,45777.758032407408,1269000,5,41,Independiente,5000000,2000000,205990,89.229500000000002,751.0,11,5,0.0,38278.0,38278.0,0.0,7,0,1,1043410,Creciente,1
9,45752.520115740743,878880,2,38,Independiente,4000000,2000000,346587,95.227787000000006,779.0,10,7,0.0,100471.0,100471.0,0.0,5,1,2,931394,Creciente,1
4,45760.556354166663,2349480,12,56,Independiente,5000000,1200000,184891,95.227787000000006,867.0,2,3,0.0,4701.0,4701.0,0.0,1,1,0,908526,Estable,1
9,45841.698958333334,719785.2,8,50,Independiente,5000000,2000000,75201,91.410695000000004,794.0,9,8,0.0,50113.0,50113.0,0.0,5,1,2,954263,Creciente,1
4,45683.586840277778,3105240,6,43,Independiente,10000000,5000000,460102,89.979286999999999,769.0,10,5,0.0,25909.0,23476.0,0.0,4,0,1,1516832,Creciente,1
9,45802.698252314818,821208,2,20,Independiente,5000000,2000000,324034,95.227787000000006,767.0,7,4,0.0,21034.0,18993.0,0.0,2,0,3,954263,Creciente,1
4,45667.676724537036,3931081.1999999997,12,65,Empleado,12000000,2500000,272992,95.227787000000006,878.0,4,2,0.0,157.0,157.0,0.0,2,0,0,916148,Creciente,1
9,45787.692604166667,1269000,2,53,Independiente,5000000,2000000,500578,95.227787000000006,819.0,7,10,0.0,24602.0,21367.0,0.0,4,0,2,933473,Creciente,1
4,45689.760648148149,779880,24,65,Independiente,1500000,350000,34172,95.227787000000006,811.0,4,1,0.0,2648.0,2648.0,0.0,0,0,1,,,1
4,45679.563472222224,3279120,12,62,Empleado,15000000,6000000,227717,95.227787000000006,883.0,5,3,0.0,1477.0,1477.0,0.0,4,0,0,14708111,Creciente,1
4,45779.726087962961,1633020,6,51,Independiente,5000000,2000000,242783,95.227787000000006,865.0,7,3,0.0,31165.0,31165.0,0.0,5,0,1,939017,Creciente,1
9,45658.534502314818,2909440.8,10,65,Independiente,5000000,3000000,246765,95.227787000000006,430.0,13,2,366.0,50549.0,50549.0,0.0,10,0,2,,,1
9,45781.44939814815,2113460.4,10,45,Independiente,3000000,1500000,179725,95.227787000000006,841.0,6,2,0.0,15726.0,15726.0,0.0,2,1,1,939017,Creciente,1
4,45668.794085648151,2340000,12,37,Empleado,3100000,200000,183599,95.227787000000006,737.0,3,10,0.0,27267.0,27267.0,0.0,2,0,0,3021448,Creciente,1
9,45691.713622685187,2079050.4,9,67,Independiente,3000000,1200000,194165,95.227787000000006,876.0,3,2,0.0,0.0,0.0,0.0,3,0,0,908526,Estable,1
9,45632.716192129628,677718,10,68,Empleado,0,0,57390,95.227787000000006,799.0,1,1,0.0,71240.0,71240.0,0.0,1,0,0,2711627,Creciente,1
9,45910.571655092594,3511209.6,10,66,Empleado,9230000,4988000,302040,95.227787000000006,820.0,14,3,0.0,163618.0,163618.0,0.0,10,0,0,969508,Creciente,1
9,45722.454710648148,4949838,11,45,Independiente,4000000,2000000,389741,92.228643000000005,868.0,7,2,0.0,65631.0,65631.0,0.0,3,2,0,923771,Creciente,1
9,45672.716770833336,2407514.4,10,67,Empleado,2000000,1500000,204194,95.227787000000006,761,4,0,0,29817,29817,,2,0,2,,,1
9,45710.476851851854,878880,8,63,Independiente,5000000,2000000,91585,95.227787000000006,819.0,8,3,0.0,157476.0,108281.0,0.0,1,3,4,,,1
9,45630.723368055558,1653325.2,9,43,Independiente,2000000,1700000,154185,95.227787000000006,789.0,1,2,0.0,39.0,39.0,0.0,0,0,0,,,1
9,45667.484166666669,4541006.3999999994,9,42,Empleado,5000000,2000000,424091,95.227787000000006,823.0,3,2,0.0,35257.0,18477.0,0.0,1,1,0,30285,Decreciente,1
4,45880.786793981482,3623280,6,43,Empleado,605733,3797000,542685,95.227787000000006,805.0,3,4,0.0,49124.0,49124.0,0.0,0,0,3,605733,Creciente,1
9,45676.725277777776,2896401.6,9,41,Independiente,5500000,2500000,270499,95.227787000000006,853.0,14,5,0.0,190093.0,19999.0,0.0,12,0,1,1755606,Estable,1
4,45860.527662037035,4032000,6,38,Independiente,1000000,1158000,603902,89.979286999999999,760.0,4,1,0.0,31320.0,31320.0,0.0,1,1,1,1000000,Estable,1
4,46045.467465277776,1582800,6,63,Independiente,1750000,342000,243484,95.227787000000006,792.0,2,6,0.0,812.0,812.0,0.0,1,0,1,1013333,Creciente,1
9,45696.488993055558,1183716,9,62,Independiente,3500000,2000000,110549,95.227787000000006,889.0,3,2,0.0,18080.0,18080.0,0.0,1,0,2,,,1
9,45704.729826388888,3417370.8,9,42,Independiente,10000000,4000000,319458,95.227787000000006,771.0,7,5,0.0,9950.0,9950.0,0.0,0,0,5,2128000,Estable,1
9,45743.359699074077,3019130.4,9,42,Independiente,6000000,5500000,282366,95.227787000000006,834.0,7,4,0.0,66544.0,66544.0,0.0,5,0,1,1242500,Creciente,1
9,45813.429942129631,2642703.6,10,47,Independiente,3500000,2000000,224966,95.227787000000006,830.0,3,4,0.0,21939.0,21939.0,0.0,2,0,1,1000000,Decreciente,1
9,45728.604270833333,5277316.8,9,68,Independiente,3500000,0,493328,95.227787000000006,886.0,2,3,0.0,3681.0,3681.0,0.0,2,0,0,,,1
9,45795.532916666663,413592,6,41,Empleado,5000000,2000000,56513,95.227787000000006,732.0,9,9,0.0,84022.0,84022.0,0.0,6,0,2,826757,Creciente,1
9,45943.414583333331,5975440.7999999998,11,42,Independiente,4780000,1227000,476119,95.227787000000006,831.0,8,3,0.0,92351.0,92351.0,0.0,5,0,0,1500000,Creciente,1
9,45754.557743055557,1864176,11,40,Independiente,3000000,1500000,145286,95.227787000000006,825.0,7,2,0.0,29995.0,29995.0,0.0,5,0,0,200000,Decreciente,1
4,45718.406759259262,1701202.8,12,40,Empleado,2100000,1000000,134481,95.227787000000006,835.0,3,7,0.0,38848.0,38848.0,0.0,1,1,1,2997521,Decreciente,1
4,45817.621805555558,420000,18,45,Empleado,3700000,1800000,23983,95.227787000000006,731.0,13,7,0.0,9660.0,9660.0,0.0,6,0,5,,,1
4,45864.368900462963,639600,6,62,Independiente,2734000,0,96378,95.227787000000006,839.0,1,1,0.0,0.0,0.0,0.0,1,0,0,,,1
4,45637.572939814818,3600000,36,42,Empleado,2500000,1000000,116567,95.227787000000006,827.0,3,2,0.0,5115.0,5115.0,0.0,2,0,0,908526,Estable,1
9,45624.544328703705,2429022,9,41,Independiente,8000000,3000000,226524,95.227787000000006,844.0,4,3,0.0,36426.0,36426.0,0.0,3,1,0,1000000,Estable,1
9,45835.499374999999,3387720,9,42,Empleado,5000000,2000000,317596,95.227787000000006,890.0,7,2,0.0,14526.0,14526.0,0.0,5,0,0,7423500,Creciente,1
9,45770.611851851849,1249776,10,41,Empleado,2000000,800000,106279,95.227787000000006,791.0,9,2,0.0,14791.0,14791.0,0.0,6,0,0,933473,Creciente,1
9,45669.730185185188,1955869.2,10,41,Empleado,652000,0,165888,95.227787000000006,883,7,0,0,35676,35676,,3,0,1,,,1
9,45686.523888888885,1421530.8,10,68,Independiente,3500000,1200000,120568,95.227787000000006,856.0,11,2,0.0,81188.0,62833.0,0.0,6,2,3,,,1
9,45801.424317129633,2543582.4,9,40,Independiente,5000000,2000000,238345,95.227787000000006,825.0,9,4,0.0,60815.0,60815.0,0.0,3,0,1,871788,Creciente,1
4,45764.425543981481,1530643.2,12,61,Empleado,6500000,2000000,121344,95.227787000000006,749.0,8,4,0.0,50651.0,50651.0,0.0,5,0,0,931394,Creciente,1
4,45705.736331018517,1376400,12,57,Empleado,1200000,500000,108136,89.229500000000002,843.0,7,1,0.0,25835.0,12869.0,0.0,1,3,2,1159147,Decreciente,1
4,45748.573287037034,669600,6,41,Independiente,3600000,500000,99948,95.227787000000006,795.0,3,6,0.0,37627.0,37627.0,0.0,1,0,1,,,1
9,45688.663958333331,1806945.5999999999,10,43,Empleado,3800000,1800000,153257,95.227787000000006,829.0,5,4,0.0,30434.0,30434.0,0.0,4,1,0,2528216,Decreciente,1
4,45881.513275462959,2068440,6,54,Empleado,14795278,4097000,311339,95.227787000000006,871.0,8,3,0.0,213132.0,213132.0,0.0,5,0,1,14795278,Decreciente,1
9,45829.736307870371,1674801.5999999999,10,59,Independiente,8000000,3500000,142646,95.227787000000006,920.0,6,4,0.0,106879.0,1586.0,0.0,6,0,0,4239337,Decreciente,1
9,45767.756331018521,637281.6,9,64,Empleado,2000000,1500000,59659,95.227787000000006,874.0,4,2,0.0,953.0,953.0,0.0,1,0,0,,,1
4,45645.456180555557,552000,6,41,Empleado,1700000,200000,81845,95.227787000000006,807.0,2,4,0.0,0.0,0.0,0.0,1,0,0,1023151,Creciente,1
9,45724.61577546296,1055187.5999999999,10,66,Independiente,6000000,4000000,89590,95.227787000000006,828.0,12,7,0.0,190322.0,169322.0,0.0,9,1,0,923771,Creciente,1
9,45785.375219907408,799680,11,39,Empleado,3100000,1500000,62395,95.227787000000006,794.0,3,3,0.0,1015.0,1015.0,0.0,0,0,1,,,1
9,45737.376932870371,3388212,10,39,Empleado,3000000,1000000,287825,95.227787000000006,696.0,11,2,0.0,62754.0,62754.0,0.0,5,0,5,931763,Decreciente,1
4,45703.497615740744,793506,12,59,Empleado,1500000,300000,62522,95.227787000000006,823.0,1,4,0.0,433.0,433.0,0.0,0,0,1,923771,Creciente,1
9,45754.487719907411,1439079.5999999999,11,60,Empleado,5000000,3500000,112156,91.99794,815.0,3,4,0.0,3215.0,3215.0,0.0,0,0,2,991122,Creciente,1
9,46079.357187499998,3823214.4,10,43,Empleado,18258000,4028000,342742,95.227787000000006,880.0,12,2,0.0,424640.0,120655.0,0.0,9,0,0,13719347,Creciente,1
4,45795.491863425923,1611759.5999999999,6,42,Independiente,2500000,1600000,241383,95.227787000000006,731.0,2,3,0.0,1600.0,1600.0,0.0,1,0,0,,,1
9,45753.714467592596,2536836,9,53,Independiente,3000000,1500000,237259,95.227787000000006,771.0,5,9,0.0,84461.0,84461.0,0.0,3,0,0,1783333,Decreciente,1
4,45947.654120370367,2065746,18,67,Empleado,3400000,408000,122030,95.227787000000006,727.0,4,6,0.0,14926.0,14926.0,0.0,0,2,1,983368,Creciente,1
9,46059.509733796294,3394948.8,9,43,Empleado,4872000,1424000,331642,95.227787000000006,856.0,5,3,0.0,80637.0,80637.0,0.0,4,0,1,3568025,Creciente,1
9,45830.427893518521,2843659.1999999997,9,42,Independiente,3000000,2000000,269489,95.227787000000006,825.0,5,2,0.0,9022.0,9022.0,0.0,3,0,0,,,1
9,45744.371458333335,1411796.4,11,41,Empleado,6500000,2500000,111226,95.227787000000006,850.0,7,5,0.0,87378.0,87378.0,0.0,6,0,1,9119911,Creciente,1
4,45697.592731481483,1404000,10,37,Empleado,3500000,2000000,129921,95.227787000000006,774.0,2,1,0.0,0.0,0.0,0.0,0,0,0,3447484,Creciente,1
9,45633.445289351854,1774891.2,10,63,Independiente,3000000,1500000,150301,95.227787000000006,943,6,1,0,20406,0,0,0,1,3,,,1
9,45816.53266203704,744115.19999999995,9,37,Empleado,2000000,1400000,69727,95.227787000000006,735.0,5,5,0.0,8384.0,1057.0,0.0,0,0,2,2868897,Creciente,1
9,45973.423090277778,3846830.4,10,40,Empleado,4824000,1638000,337499,95.227787000000006,818.0,8,3,0.0,36056.0,36056.0,0.0,6,0,1,1084047,Creciente,1
9,45630.69390046296,1784658,7,64,Empleado,3200000,2500000,210192,95.227787000000006,922,8,0,0,25339,25339,0,5,0,0,,,1
4,45766.439768518518,1289400,6,61,Empleado,1600000,700000,192463,95.227787000000006,838.0,4,5,0.0,11505.0,11505.0,0.0,2,1,1,2700459,Creciente,1
9,46008.481307870374,3081804,4,68,Empleado,2980000,582000,631536,95.227787000000006,848.0,6,2,0.0,30329.0,30329.0,0.0,4,0,0,992377,Creciente,1
4,45680.433125000003,960000,6,62,Independiente,3000000,1050000,142489,95.227787000000006,856.0,8,1,0.0,42809.0,40976.0,0.0,6,0,2,,,1
9,45863.531435185185,3278569.1999999997,9,68,Empleado,5000000,2000000,307951,95.227787000000006,861.0,3,2,0.0,49.0,49.0,0.0,2,0,0,,,1
9,45823.380914351852,2000076,10,67,Independiente,1500000,600000,170261,95.227787000000006,882.0,3,1,0.0,917.0,917.0,0.0,3,0,0,1100000,Estable,1
4,45830.498414351852,734400,6,62,Independiente,2600000,450000,110397,95.227787000000006,794.0,9,2,0.0,73820.0,73820.0,0.0,5,0,1,977131,Creciente,1
4,45735.472384259258,1763880,6,56,Empleado,4550000,2000000,262163,95.227787000000006,712.0,9,6,0.0,37965.0,37965.0,0.0,4,0,2,3210392,Creciente,1
4,45673.741342592592,1896000,12,57,Independiente,3000000,800000,149205,95.227787000000006,771.0,7,2,0.0,14163.0,13292.0,0.0,2,1,0,916148,Creciente,1
9,45711.65929398148,8830670.4000000004,9,46,Independiente,2800000,2300000,825498,95.227787000000006,748.0,18,6,0.0,439467.0,439467.0,0.0,13,0,3,,,1
4,45633.356504629628,2328000,12,42,Independiente,16000000,12000000,182670,-13.193985,762.0,10,7,0.0,185912.0,185912.0,0.0,7,0,1,860936,Decreciente,0
4,45680.508310185185,4659840,6,39,Empleado,12000000,6000000,690914,95.227787000000006,706.0,3,2,0.0,2407.0,2407.0,0.0,2,0,0,5615070,Creciente,1
4,45664.440057870372,600000,6,43,Independiente,3000000,2400000,88893,-5.1026249999999997,738.0,2,5,0.0,10910.0,10910.0,0.0,0,0,1,,,0
4,45726.792245370372,1092960,8,40,Empleado,1800000,500000,124065,95.227787000000006,765.0,1,4,0.0,29.0,29.0,0.0,0,0,0,1196669,Creciente,1
4,45933.64638888889,2067540,6,54,Independiente,4350000,1352000,312676,95.227787000000006,748.0,10,3,0.0,54426.0,54426.0,0.0,6,0,1,1536363,Creciente,1
4,45752.427557870367,4152000,6,43,Independiente,15000000,3000000,617282,95.227787000000006,775.0,3,5,0.0,67818.0,67818.0,0.0,2,0,0,32724,Creciente,1
4,45628.604687500003,2952000,6,42,Independiente,5000000,1500000,438153,89.979286999999999,749.0,7,4,0.0,14043.0,14043.0,0.0,2,0,2,30285,Creciente,1
4,45703.481574074074,2648520,8,55,Empleado,7200000,3000000,300397,95.227787000000006,748.0,3,5,0.0,23484.0,23484.0,0.0,2,0,1,7245404,Creciente,1
4,45635.781504629631,1985520,6,55,Empleado,2000000,800000,294702,95.227787000000006,848.0,3,2,0.0,6667.0,6667.0,0.0,1,0,0,3879984,Creciente,1
4,45877.767962962964,2340600,6,52,Empleado,8000000,4000000,347040,95.227787000000006,760.0,22,15,0.0,437035.0,437035.0,0.0,15,1,2,5885289,Creciente,1
4,45711.631180555552,12480000,6,42,Independiente,14000000,4000000,1853620,95.227787000000006,708.0,5,5,0.0,39944.0,39944.0,0.0,3,0,0,908526,Estable,1
9,45697.539282407408,1604400,6,62,Independiente,4000000,2000000,218705,95.227787000000006,800.0,6,5,0.0,208519.0,208519.0,0.0,4,0,1,1565000,Estable,1
4,45649.484861111108,4973194.8,6,55,Independiente,8000000,1500000,736876,58.597591000000001,781.0,4,4,0.0,5674.0,5674.0,0.0,1,0,1,60569,Decreciente,0
4,45774.545023148145,3565920,6,43,Independiente,3000000,800000,531436,95.227787000000006,880.0,7,3,0.0,53205.0,22799.0,0.0,7,0,0,,,1
4,45743.503530092596,10656000,6,61,Independiente,8000000,3500000,1583786,95.227787000000006,860.0,6,5,0.0,70494.0,70494.0,0.0,4,0,1,1016666,Creciente,1
4,45685.457974537036,7620618,6,58,Independiente,20000000,1000000,1131819,95.227787000000006,845.0,5,6,0.0,22789.0,22789.0,0.0,4,0,0,1189017,Decreciente,1
4,45731.647604166668,6480000,6,38,Independiente,10000000,2000000,963064,95.227787000000006,788.0,3,3,0.0,69588.0,69588.0,0.0,1,0,0,545426,Creciente,1
4,45774.606365740743,3575997.6,6,48,Independiente,6000000,1800000,531648,95.227787000000006,774.0,8,5,0.0,25755.0,22857.0,0.0,5,0,1,963410,Decreciente,1
4,45787.642962962964,1144800,6,49,Empleado,2257000,1000000,170189,95.227787000000006,827.0,4,2,0.0,4909.0,4909.0,0.0,1,0,1,2835797,Creciente,1
4,45670.766828703701,1923600,8,41,Empleado,2500000,1000000,217883,95.227787000000006,803.0,1,2,0.0,0.0,0.0,0.0,0,0,0,1200000,Estable,1
9,45793.444120370368,821208,2,39,Empleado,4000000,1000000,323939,95.227787000000006,777.0,8,7,0.0,53130.0,53130.0,0.0,4,0,2,939017,8315,1
4,45705.385000000002,3389690.4,6,60,Independiente,8000000,1500000,503439,95.227787000000006,846.0,5,1,0.0,42035.0,42035.0,0.0,4,0,0,878310,Creciente,1
4,45722.520972222221,3513480,12,62,Independiente,8000000,4000000,276351,95.227787000000006,774.0,3,5,0.0,23628.0,23628.0,0.0,3,0,0,,,1
4,45949.816296296296,4923840,6,46,Empleado,3080000,2929000,744637,95.227787000000006,815.0,6,3,0.0,123697.0,123697.0,0.0,1,3,1,1414200,Decreciente,1
4,45732.426134259258,1848600,6,58,Empleado,5000000,2000000,274568,95.227787000000006,865.0,7,4,0.0,52913.0,52913.0,0.0,2,3,0,5011916,Decreciente,1
9,45757.688310185185,878880,3,59,Independiente,4000000,2000000,233237,95.227787000000006,830.0,1,2,0.0,15000.0,15000.0,0.0,1,0,0,,,1
4,45733.716446759259,3042780,6,57,Independiente,3000000,400000,451936,95.227787000000006,826.0,1,0,0.0,43.0,43.0,0.0,0,0,0,931394,Creciente,1
